File Name,Sentence,Mapped CWE-ID,CWE Description,Positive Probability
33128-i80.docx.txt,"IETF : ""Internet Protocol"".3: ""3G security; Lawful interception architecture and functions"".3: ""S1 Application Protocol (S1AP)"".3: ""Multimedia Messaging Protocol.",319,The product transmits sensitive or security-critical data in cleartext in a communication channel that can be sniffed by unauthorized actors.,0.9976474642753601
33128-i80.docx.txt,"W3C Recommendation: ""XML Path Language (XPath)"".928: ""ADMF Logic for Provisioning Lawful Interception (LI) "".3: ""Alphabets and language-specific information"".",776,"The product uses XML documents and allows their structure to be defined with a Document Type Definition (DTD), but it does not properly control the number of recursive definitions of entities.",0.9976287484169006
33128-i80.docx.txt,GeneralThe high-level architecture that defines the necessary interfaces is specified in.,22,"The product uses external input to construct a pathname that is intended to identify a file or directory that is located underneath a restricted parent directory, but the product does not properly neutralize special elements within the pathname that can cause the pathname to resolve to a location that is outside of the restricted directory.",0.9976404905319214
33128-i80.docx.txt,Details of the IRI messages can be found in Annex A of the present document.,552,"The product makes files or directories accessible to unauthorized actors, even though they should not be.",0.9976382255554199
33128-i80.docx.txt,responses and updates are represented as XML following the IdentityResponseDetails type definition (see Annex E).IdentityResponseDetails contain IdentityAssociation records.,776,"The product uses XML documents and allows their structure to be defined with a Document Type Definition (DTD), but it does not properly control the number of recursive definitions of entities.",0.997617781162262
33128-i80.docx.txt,The LTEV2XServicesAuthorization provides information on the authorization status of the UE to use the LTE sidelink for V2X services.,59,"The product attempts to access a file based on the filename, but it does not properly prevent that filename from identifying a link or shortcut that resolves to an unintended resource.",0.9976338148117065
33128-i80.docx.txt,Defined inclause 9.3.1.147.Table 6.2.2.2A.6-1: Structure of the LTEV2XServicesAuthorization typeTable 6.2.2.2A.7-1 contains the details for the TargetNSSAIInfo type.,22,"The product uses external input to construct a pathname that is intended to identify a file or directory that is located underneath a restricted parent directory, but the product does not properly neutralize special elements within the pathname that can cause the pathname to resolve to a location that is outside of the restricted directory.",0.9974230527877808
33128-i80.docx.txt,The V2XUEAuthorizationIndicator indicates whether the UE is authorized to use Sidelink for V2X operation.,59,"The product attempts to access a file based on the filename, but it does not properly prevent that filename from identifying a link or shortcut that resolves to an unintended resource.",0.9976490139961243
33128-i80.docx.txt,ESTABLISHMENT ACCEPT to the UE and the 5GSM state within the SMF remains in the PDU SESSION ACTIVE (seeclause 6.1.3.3 and 6.4.1).,613,"According to WASC, Insufficient Session Expiration is when a web site permits an attacker to reuse old session credentials or session IDs for authorization.",0.9976617097854614
33128-i80.docx.txt,This applies to the following cases:- MA PDU Session establishment over second access type.,843,"The product allocates or initializes a resource such as a pointer, object, or variable using one type, but it later accesses that resource using a type that is incompatible with the original type.",0.9976391792297363
33128-i80.docx.txt,In the different PLMNs (roaming UE).- modification request and includes MA PDU session information IE set to MA PDU session network upgrade allowed.3.,918,"The web server receives a URL or similar request from an upstream component and retrieves the contents of this URL, but it does not sufficiently ensure that the request is being sent to the expected destination.",0.9976608753204346
33128-i80.docx.txt,SMF sends a PDU SESSION MODIFICATION COMMAND to the UE that includes the ATSSS IE (clause 6.4.2.3).5.,212,"The product stores, transfers, or shares a resource that contains sensitive information, but it does not properly remove that information before the product makes the resource available to unauthorized actors.",0.99765944480896
33128-i80.docx.txt,"Note that in approach 2, the MDF2 generates these IRI messages containing PDHeaderReport and PDSummaryReport records without receiving the equivalent xIRI from an IRI-POI.",209,"The product generates an error message that includes sensitive information about its environment, users, or associated data.",0.9976589679718018
33128-i80.docx.txt,"In 5G packet core network, the UDM provides the unified data management for UE.",476,"A NULL pointer dereference occurs when the application dereferences a pointer that it expects to be valid, but is NULL, typically causing a crash or exit.",0.9976633787155151
33128-i80.docx.txt,Details for this interface are not considered in the present document and are for further study.,552,"The product makes files or directories accessible to unauthorized actors, even though they should not be.",0.9975549578666687
33128-i80.docx.txt,MME received a CELL TRAFFIC TRACE message from the RAN for the target.- MME sent a deactivate trace message to the RAN for the target.,209,"The product generates an error message that includes sensitive information about its environment, users, or associated data.",0.9976258873939514
33128-i80.docx.txt,This information is derived from the S1 SETUP REQUEST and S1 SETUP RESPONSE.,204,The product provides different responses to incoming requests in a way that reveals internal state information to an unauthorized actor outside of the intended control sphere.,0.99764484167099
33128-i80.docx.txt,Seeclauses 9.1.8.4 and 9.1.8.5.Table 6.3.2.2A.13-1 contains the details for the MMEServedGUMMEIList type.,552,"The product makes files or directories accessible to unauthorized actors, even though they should not be.",0.9966811537742615
33128-i80.docx.txt,This information is derived from the Served GUMMEI List IE of the S1 SETUP RESPONSE.,209,"The product generates an error message that includes sensitive information about its environment, users, or associated data.",0.9976602792739868
33128-i80.docx.txt,This information is derived from the Served GUMMEI List IE of the S1 SETUP RESPONSE.,209,"The product generates an error message that includes sensitive information about its environment, users, or associated data.",0.9976602792739868
33128-i80.docx.txt,This information is derived from information present in the INITIAL UE MESSAGE defined inclauses 9.1.7.1.Table 6.3.2.2A.16-1 contains the details for the BBFTunnelInformation type.,209,"The product generates an error message that includes sensitive information about its environment, users, or associated data.",0.9976275563240051
33128-i80.docx.txt,This information is derived from information present in the Tunnel Information IE defined inclauses 9.2.2.3.Table 6.3.2.2A.17-1 contains the details for the LTENTNTAIInformation type.,312,The product stores sensitive information in cleartext within a resource that might be accessible to another control sphere.,0.9976626634597778
33128-i80.docx.txt,Table 6.3.3.1-5 shows the minimum details of the LI_X1 ActivateTask message used for provisioning the MDF3.,209,"The product generates an error message that includes sensitive information about its environment, users, or associated data.",0.9976150989532471
33128-i80.docx.txt,"The details of the messages for single-access PDU sessions are provided in clauses 6.3.3.2.2, 6.3.3.2.3, 6.3.3.2.4 and 6.3.3.2.5.",613,"According to WASC, Insufficient Session Expiration is when a web site permits an attacker to reuse old session credentials or session IDs for authorization.",0.9976357221603394
