File Name,Sentence,Mapped CWE-ID,CWE Description,Positive Probability
33700-29-030.docx.txt,The EPS/5G AKA procedure It results into incomplete procedure for mutual authentication between the network and the UE.,306,The product does not perform any authentication for functionality that requires a provable user identity or consumes a significant amount of resources.,0.9976763129234314
33700-29-030.docx.txt,"IntroductionThis solution, by reversing roles between UE/USIM and network, enables an Authentication and Key Agreement mutual scheme, with same security level as the usual one.",306,The product does not perform any authentication for functionality that requires a provable user identity or consumes a significant amount of resources.,0.9976614713668823
33700-29-030.docx.txt,"Those reversed roles, because UE is originating the procedure, enable to cope with the connection discontinuity introduced by intermittent satellite coverage.",268,"Two distinct privileges, roles, capabilities, or rights can be combined in a way that allows an entity to perform unsafe actions that would not be allowed without that combination.",0.9976745247840881
33700-29-030.docx.txt,UE generating AV can directly secure the user data to be attached as payload associated with first signalling messages.,209,"The product generates an error message that includes sensitive information about its environment, users, or associated data.",0.9976481795310974
33700-29-030.docx.txt,"To avoid any synchronization issue, it will be recommended to use time-based SQN generation.",476,"A NULL pointer dereference occurs when the application dereferences a pointer that it expects to be valid, but is NULL, typically causing a crash or exit.",0.9976449608802795
33700-29-030.docx.txt,UE and satellite setup a secure channel to mutually authenticate each other.3.,552,"The product makes files or directories accessible to unauthorized actors, even though they should not be.",0.9976643323898315
33700-29-030.docx.txt,"The UE then derives keys from CK, IK as defined intill User Plane keys and generates UL user data protected by NAS keys.4.",209,"The product generates an error message that includes sensitive information about its environment, users, or associated data.",0.9975849390029907
33700-29-030.docx.txt,"The UDM/ARPF computes RES, CK, IK and then computes RES* and KAUSF15.",79,The product does not neutralize or incorrectly neutralizes user-controllable input before it is placed in output that is used as a web page that is served to other users.,0.9972781538963318
33700-29-030.docx.txt,The AMF/SEAF determine the next satellite over the zone and send key material for RRC protection 21.,378,"Opening temporary files without appropriate measures or controls can leave the file, its contents and any function that it impacts vulnerable to attack.",0.9976291060447693
33700-29-030.docx.txt,The AMF/SEAF send to the satellite the REGISTRATION ACCEPT with RES* and user data DL message if any as encrypted payload.,552,"The product makes files or directories accessible to unauthorized actors, even though they should not be.",0.997633695602417
33700-29-030.docx.txt,"…till it will be able to reopen a service link with UE, RRC protected 23/24.",59,"The product attempts to access a file based on the filename, but it does not properly prevent that filename from identifying a link or shortcut that resolves to an unintended resource.",0.9976377487182617
33700-29-030.docx.txt,"The satellite sends to UE, the REGISTRATION ACCEPT with RES* and user data DL message if any as encrypted payload.",427,"The product uses a fixed or controlled search path to find resources, but one or more locations in that path can be under the control of unintended actors.",0.9976592063903809
33700-29-030.docx.txt,"Those reversed roles, because UE is originating the procedure, enable to cope with the connection discontinuity introduced by intermittent satellite coverage.",268,"Two distinct privileges, roles, capabilities, or rights can be combined in a way that allows an entity to perform unsafe actions that would not be allowed without that combination.",0.9976745247840881
